title,brand,three_star,four_star,five_star,reviewsCount,price,productPosition
"ANYGIFT Valentines Day Gifts for Kids, 24 Packs Animal Building Blocks with Valentines Day Cards for Kids School, Valentines Gifts for Kids Boys Girls Classroom Party Favors Exchange Gifts",ANYGIFT,0.04,0.1,0.81,35,17.98,144
"Pusuny Valentines Day Gifts for Her, Galaxy Glass Rose Forever Eternal Crystal Flower Light Up Rose in Glass Dome with Butterfly Birthday Gift for Women Mom Wife Girlfriend Grandma Colorful",Pusuny,0.06,0.1,0.8,578,,110
"24 Packs Valentines Day Cards for Kids with Fastfood Building Blocks for School Classroom Valentine's Gifts Exchange, Valentine's Party Favors for Kids, Valentine's Gift Cards Bulk, Valentine's Prizes",SpringFlower,0,0,1,2,19.99,134
Valentines Day Gifts Cards for Kids - 30 Packs Filled Hearts Valentines Day Cards with Emoticon Plush Keychains Classroom School Gift Exchange Party Favors Bulk Toys Treasure Box Carnival Prizes,Baisoo,0.08,0.16,0.74,188,26.99,141
"ShyLizard 24PCS Valentine Cards for Kids Classroom School, Colorful Dough Toys with Cards Valentine Exchange Gifts, Kids Valentine Day Cards Gifts Exchange, School Classroom Valentines Party Favors",ShyLizard,0,0.11,0.89,57,16.99,126
"ONEAGE Funny Valentines Day Card for Men Husband Boyfriend - Naughty Card Gift,Birthday Anniversary Christmas Stocking Stuffers Card for Him",ONEAGE,0.04,0.06,0.88,117,1.99,137
"U UQUI Rose Bear Valentines Day Gifts for Her, Flower Bear Rose Teddy Bear with Box Lights Necklace Balloon Card, Cute Romantic I Love You Anniversary Birthday Valentines Day Gifts & Decor",U UQUI,0.07,0.12,0.75,2069,26.99,135
"24PCS Valentines Day Cards with Small Stuffed Animals Plush Toys Set, Little Mini Stuffed Animal Keychain Valentine Exchange Cards for Kids Classroom School Exchange Prize, Valentines Day Gifts",CAMIRUS,0.07,0.17,0.67,18,16.99,125
"YNERHAI 2 Pack 13"" Valentines Gift Bags, Valentines Bags with Wrapping Paper, Valentines Day Gift Bags for Kids Him Her Boyfriend Girlfriend Classroom, Valentines Gift for Men Woman",YNERHAI,0.05,0.12,0.8,118,6.99,142
Valentines Day Gifts for Her Preserved Red Real Rose with I Love You Necklace -Eternal Flowers Rose Gifts for Mom Wife Girlfriend on Valentines Day Mothers Day Anniversary Birthday Gifts for Women,TRAALL,0.04,0.06,0.85,140,,122
Inspirational Bracelets for Women Natural Stone Healing Relaxation Chakra Bracelet Gifts for Graduation Birthday Christmas Mothers day Valentines Thanksgiving Teacher Appreciation Gifts for Her Mom Best Friend Sister Women Girls,Pingyongchang,0.03,0.12,0.8,98,,131
